source_competition	organized_competition	question	source_path	organized_path	file_count	bytes
SWPUCTF 2020	SWPUCTF	Re(1)	SWPUCTF 2020/Re(1)	SWPUCTF/Re(1)	1	358400
SWPUCTF 2020	SWPUCTF	RealEzRE	SWPUCTF 2020/RealEzRE	SWPUCTF/RealEzRE	1	222208
SWPUCTF 2020	SWPUCTF	swpuctf	SWPUCTF 2020/swpuctf	SWPUCTF/swpuctf	1	98304
TCTF	TCTF	FA51R_RE_toplayer	TCTF/FA51R_RE_toplayer	TCTF/FA51R_RE_toplayer	1	923864
TCTF	TCTF	FEA	TCTF/FEA	TCTF/FEA	2	199600
TCTF	TCTF	future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68	TCTF/future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68	TCTF/future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68	1	16264
TCTF	TCTF	lalamblambdadambda	TCTF/lalamblambdadambda	TCTF/lalamblambdadambda	1	6454109
TCTF	TCTF	main	TCTF/main	TCTF/main	1	923864
TCTF	TCTF	vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a	TCTF/vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a	TCTF/vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a	1	34808
TCTF Final	TCTF	0bf_be9a2e42af02c093666bae0b41775410ff2cb225	TCTF Final/0bf_be9a2e42af02c093666bae0b41775410ff2cb225	TCTF/0bf_be9a2e42af02c093666bae0b41775410ff2cb225	1	608440
TCTF Final	TCTF	client	TCTF Final/client	TCTF/client	1	7165264
TCTF Final	TCTF	fruit	TCTF Final/fruit	TCTF/fruit	4	827568
TSCTF	TSCTF	Go_1000_floors	TSCTF/Go_1000_floors	TSCTF/Go_1000_floors	1	2402816
TSCTF	TSCTF	PACMAN	TSCTF/PACMAN	TSCTF/PACMAN	94	51582296
TSCTF	TSCTF	PaintUpx - 副本	TSCTF/PaintUpx - 副本	TSCTF/PaintUpx - 副本	1	37376
TSCTF	TSCTF	easyXor	TSCTF/easyXor	TSCTF/easyXor	1	59334
TSCTF	TSCTF	fxxk	TSCTF/fxxk	TSCTF/fxxk	1	18552
TSCTF	TSCTF	fxxk_bak	TSCTF/fxxk_bak	TSCTF/fxxk_bak	1	14400
TSCTF	TSCTF	welcome	TSCTF/welcome	TSCTF/welcome	1	5681152
TSCTF-J	TSCTF	UpxRand	TSCTF-J/UpxRand	TSCTF/UpxRand	1	886784
TSCTF-J	TSCTF	UpxRand-packed	TSCTF-J/UpxRand-packed	TSCTF/UpxRand-packed	1	375808
TSCTF-J	TSCTF	crackme	TSCTF-J/crackme	TSCTF/crackme	2	53760
TSCTF-J	TSCTF	crackme-packed	TSCTF-J/crackme-packed	TSCTF/crackme-packed	1	17408
TSCTF-J	TSCTF	debugMe	TSCTF-J/debugMe	TSCTF/debugMe	1	21336
TSCTF-J	TSCTF	easyXor	TSCTF-J/easyXor	TSCTF/easyXor [TSCTF-J]	1	9216
TSCTF-J	TSCTF	maze	TSCTF-J/maze	TSCTF/maze	1	15360
TSCTF-J	TSCTF	maze_revenge	TSCTF-J/maze_revenge	TSCTF/maze_revenge	1	21872
TSCTF-J	TSCTF	minecraft	TSCTF-J/minecraft	TSCTF/minecraft	1	12668701
TSCTF-J	TSCTF	tic-tac-toe	TSCTF-J/tic-tac-toe	TSCTF/tic-tac-toe	1	29696
TSCTF-J 2019	TSCTF	attachment	TSCTF-J 2019/attachment	TSCTF/attachment	1	70656
TSCTF-J 2019	TSCTF	attachment-1	TSCTF-J 2019/attachment-1	TSCTF/attachment-1	1	130560
TSCTF-J 2019	TSCTF	attachment-2	TSCTF-J 2019/attachment-2	TSCTF/attachment-2	1	47520
TSCTF-J 2019	TSCTF	attachment-3	TSCTF-J 2019/attachment-3	TSCTF/attachment-3	1	16896
UMassCTF	UMassCTF	adventure	UMassCTF/adventure	UMassCTF/adventure	1	21824
