题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
MT-CTF/Random_f7f2f65c48a584e18ae15b23f2fbe935,MT-CTF,Random_f7f2f65c48a584e18ae15b23f2fbe935,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,MT-CTF/Random_f7f2f65c48a584e18ae15b23f2fbe935
MT-CTF/matrix,MT-CTF,matrix,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetModuleHandleW RaiseException RtlUnwind GetLastError SetLastE; 时序/工具干预: .data$r .data$rs .bss .rsrc$01 .rsrc$02 SetUnhandledExceptionFilter KERNEL32.dll UnhandledExceptionFilter GetCurrentProcess Ter,中,MT-CTF/matrix
MT-CTF/superflat_0b45ed5eff128b0e9e120a7edd178cce,MT-CTF,superflat_0b45ed5eff128b0e9e120a7edd178cce,U0,否,否,否,否,是,静态证据不足，待人工复核,低,MT-CTF/superflat_0b45ed5eff128b0e9e120a7edd178cce
MT-CTF/wow_646b8efcc8d900414546f65f02dc9831,MT-CTF,wow_646b8efcc8d900414546f65f02dc9831,P4,否,否,否,是,否,"""C2 证据包含加壳/虚拟化线索：UPX/packer: rogram cannot be run in DOS mode. Rich^ UPX0 UPX1 .rsrc 3.94 UPX! @ClX"""" tBgtc HIw~ *B<C Y\C8 ?rT> 4d)] qAb9 _/i<h5 T:+P UPVw""",低,MT-CTF/wow_646b8efcc8d900414546f65f02dc9831
NEEPUSEC/OLLEH,NEEPUSEC,OLLEH,U0,否,否,否,否,是,静态证据不足，待人工复核,低,NEEPUSEC/OLLEH
NEEPUSEC/easyre,NEEPUSEC,easyre,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ep GetCurrentProcessId GetModuleHandleW OutputDebugStringW GetEnvironmentVariableW FindClose FindFirstFileExW FindNextFileW GetFileAttribu; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter TerminateProcess IsProcessorFeaturePresent IsDebuggerPrese,中,NEEPUSEC/easyre
NEEPUSEC/ez,NEEPUSEC,ez,U0,否,否,否,否,是,静态证据不足，待人工复核,低,NEEPUSEC/ez
NEEPUSEC/login,NEEPUSEC,login,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW RtlUnwindEx SetLastError EnterCriticalSection LeaveCriticalSec; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter TerminateProcess IsProcessorFeaturePresent QueryPerformance,中,NEEPUSEC/login
NEFUCTF 2020/SignUp,NEFUCTF 2020,SignUp,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,NEFUCTF 2020/SignUp
NEFUCTF 2020/Test_your_math,NEFUCTF 2020,Test_your_math,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,NEFUCTF 2020/Test_your_math
NEFUCTF 2020/maze,NEFUCTF 2020,maze,P4,否,否,否,是,否,"""C2 证据包含加壳/虚拟化线索：UPX/packer: rogram cannot be run in DOS mode. (Rich UPX0 UPX1 UPX2 3.95 UPX! V0E? SVWh hh2@ l6wt uf(\"""" Pmw5<Q x|t/ 9YYj0[ <]t_G<-uA ]t6G""",低,NEFUCTF 2020/maze
NepCTF/easymips1,NepCTF,easymips1,P2,否,是,否,否,否,由 C1/C4 映射：伪成功/伪验证,低,NepCTF/easymips1
NepCTF/re__,NepCTF,re__,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: _s _wsplitpath_s wcscpy_s ucrtbased.dll IsDebuggerPresent RaiseException MultiByteToWideChar WideCharToMultiByte UnhandledExceptionFilter; 时序/工具干预: around _alloca was corrupted Unknown Runtime Check Error Unknown Filename Unknown Module Name Run-Time Check Failure #%d - %s S,中,NepCTF/re__
NepCTF/worrrrms,NepCTF,worrrrms,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: runtime._NtWaitForSingleObject runtime._NtQueryInformationProcess runtime._timeBeginPeriod runtime._timeEndPeriod runtime._WSAGetOverlappedResult; 时序/工具干预: e.tracebackinit runtime.fastrandinit runtime.checkmcount runtime.mReserveID runtime.mcommoninit runtime.int64Hash runti,中,NepCTF/worrrrms
RCTF/Hi!Harmony!,RCTF,Hi!Harmony!,U0,否,否,否,否,是,静态证据不足，待人工复核,低,RCTF/Hi!Harmony!
RCTF/dht,RCTF,dht,U0,否,否,否,否,是,静态证据不足，待人工复核,低,RCTF/dht
RCTF/misc-Monopolyzip,RCTF,misc-Monopolyzip,P1,是,否,否,否,否,由 C3 环境与交互干预映射：虚拟机/解释器: -point operation Subscript out of range Illegal opcode Illegal operand Illegal addressing mode Illegal trap Privileged opcode Privileg,低,RCTF/misc-Monopolyzip
RCTF/re,RCTF,re,U0,否,否,否,否,是,静态证据不足，待人工复核,低,RCTF/re
RCTF/two_shortest,RCTF,two_shortest,U0,否,否,否,否,是,静态证据不足，待人工复核,低,RCTF/two_shortest
ROARCTF/WaO,ROARCTF,WaO,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ROARCTF/WaO
ROARCTF/d5f6a2b69cc6a8e09adcef05c07e0dc3,ROARCTF,d5f6a2b69cc6a8e09adcef05c07e0dc3,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ROARCTF/d5f6a2b69cc6a8e09adcef05c07e0dc3
ROARCTF/singluarDLP,ROARCTF,singluarDLP,U0,否,否,否,否,是,静态证据不足，待人工复核,低,ROARCTF/singluarDLP
ROARCTF/slime_war,ROARCTF,slime_war,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW memcpy strcmp |; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresent QueryPerformanceCo,中,ROARCTF/slime_war
SCTF/CplusExceptionEncrypt,SCTF,CplusExceptionEncrypt,U0,否,否,否,否,是,静态证据不足，待人工复核,低,SCTF/CplusExceptionEncrypt
SCTF/sycgame,SCTF,sycgame,U0,否,否,否,否,是,静态证据不足，待人工复核,低,SCTF/sycgame
SWPUCTF 2020/Re,SWPUCTF 2020,Re,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: minateProcess IsProcessorFeaturePresent IsDebuggerPresent GetModuleHandleW QueryPerformanceCounter GetCurrentProcessId GetCurrentThreadId; 时序/工具干预: ale-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,SWPUCTF 2020/Re
SWPUCTF 2020/Re(1),SWPUCTF 2020,Re(1),P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: minateProcess IsProcessorFeaturePresent IsDebuggerPresent RaiseException MultiByteToWideChar WideCharToMultiByte QueryPerformanceCounter; 时序/工具干预: around _alloca was corrupted Unknown Runtime Check Error Unknown Filename Unknown Module Name Run-Time Check Failure #%d - %s St,中,SWPUCTF 2020/Re(1)
SWPUCTF 2020/RealEzRE,SWPUCTF 2020,RealEzRE,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: GetCurrentProcessId InitializeSListHead IsDebuggerPresent GetStartupInfoW RtlUnwind RaiseException FreeLibrary LoadLibraryExW GetStdHandl; 时序/工具干预: urrentThreadId UnhandledExceptionFilter SetUnhandledExceptionFilter TerminateProcess IsProcessorFeaturePresent QueryPerformance,中,SWPUCTF 2020/RealEzRE
SWPUCTF 2020/swpuctf,SWPUCTF 2020,swpuctf,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: CreateEventW IsProcessorFeaturePresent IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW GetCurrent; 时序/工具干预: ebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW GetCurrentProcess TerminateProcess QueryPerf,中,SWPUCTF 2020/swpuctf
TCTF/0bf_be9a2e42af02c093666bae0b41775410ff2cb225,TCTF,0bf_be9a2e42af02c093666bae0b41775410ff2cb225,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/0bf_be9a2e42af02c093666bae0b41775410ff2cb225
TCTF/FA51R_RE_toplayer,TCTF,FA51R_RE_toplayer,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/FA51R_RE_toplayer
TCTF/FEA,TCTF,FEA,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/FEA
TCTF/client,TCTF,client,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/client
TCTF/fruit,TCTF,fruit,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/fruit
TCTF/future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68,TCTF,future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/future_646EE2D7588F789D3763AAAA463C49210C8DEF667C14D29B83EEAD7AD8B0FF68
TCTF/lalamblambdadambda,TCTF,lalamblambdadambda,P1,是,否,否,否,否,"""由 C3 环境与交互干预映射：UPX/packer: """" @2Xn$ TZ01 Z0{"""" 9S?`= MDB`_ Y/*= 1BH' upx< |M.j CY,? Tunj -K-`s m(yz 5`]m-eMMXOWc dOf ;Tn5 HS1=> 7L# }_8! 7bfq] P7xdh{; 自修改/运行时解码: F4z}Z y*9? :bNJ"""" ,6z8"""" l(U% k5([ """"1O4 ]smc> )d0, eb;$0 bsmc v8/w g@tf u5`G$ }~rd X{} hWv3sE p`ZzbC <)uo .(M~ P;}p ^qt_ /H""",中,TCTF/lalamblambdadambda
TCTF/main,TCTF,main,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/main
TCTF/vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a,TCTF,vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TCTF/vp_2bc8d9cbc2c7092db69ab0f57738f0c424972975247b3c9eb47c61b58ea9b52a
TSCTF/Go_1000_floors,TSCTF,Go_1000_floors,U0,否,否,否,否,是,静态证据不足，待人工复核,中,TSCTF/Go_1000_floors
TSCTF/PACMAN,TSCTF,PACMAN,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: RtlLookupFunctionEntry RtlVirtualUnwind IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcesso; 时序/工具干预: musEnablement UnityMain UnityPlayer.dll QueryPerformanceCounter GetCurrentProcessId GetCurrentThreadId GetSystemTimeAsFileTime ,中,TSCTF/PACMAN
TSCTF/PaintUpx - 副本,TSCTF,PaintUpx - 副本,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：UPX/packer: This program cannot be run in DOS mode. UPX0 UPX1 UPX2 3.96 UPX! 8MZtx -LVC HcHR xt6D 7Ew% D$ / AUATUWVSH T=6o %*aX 357/ 0OZ; 题目目录名明确指向运行时/加壳机制: PaintUpx - 副本,高,TSCTF/PaintUpx - 副本
TSCTF/UpxRand,TSCTF,UpxRand,P1+P4,是,否,否,是,否,由 C3 环境与交互干预映射：UPX/packer: UpxRand.exe !This program cannot be run in DOS mode. Rich .text `.rdata @.data .rsrc @.; 题目目录名明确指向运行时/加壳机制: UpxRand；C2 证据包含加壳/虚拟化线索：UPX/packer: UpxRand.exe !This program cannot be run in DOS mode. Rich .text `.rdata @.data .rsrc @.; 题目目录名明确指向运行时/加壳机制: UpxRand,高,TSCTF/UpxRand
TSCTF/UpxRand-packed,TSCTF,UpxRand-packed,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：UPX/packer: UpxRand-packed.exe !This program cannot be run in DOS mode. Rich UPX0 UPX1 .rsrc 3.96 U; 题目目录名明确指向运行时/加壳机制: UpxRand-packed,高,TSCTF/UpxRand-packed
TSCTF/attachment,TSCTF,attachment,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/attachment
TSCTF/attachment-1,TSCTF,attachment-1,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetModuleHandleW RtlUnwind GetLastError SetLastError EnterCriti; 时序/工具干预: rc$01 .rsrc$02 UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,TSCTF/attachment-1
TSCTF/attachment-2,TSCTF,attachment-2,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/attachment-2
TSCTF/attachment-3,TSCTF,attachment-3,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: Unknown exception bad cast Kernel32.dll IsDebuggerPresent please input your flag: U suck! 233333 Wrong! U did it! pause RSDS C:\Users\250; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,TSCTF/attachment-3
TSCTF/crackme,TSCTF,crackme,P2+P4,否,是,否,是,否,由 C1/C4 映射：UPX/packer；C2 证据包含加壳/虚拟化线索：UPX/packer: program cannot be run in DOS mode. Rich UPX0 UPX1 .rsrc .fuck .adata 3.96 UPX! FWBs'2n VNVJ V=0# )Tz{ gc0; G_Uf <s&:Lnv GHhH,低,TSCTF/crackme
TSCTF/crackme-packed,TSCTF,crackme-packed,P4,否,否,否,是,否,C2 证据包含加壳/虚拟化线索：UPX/packer: crackme-packed.exe !This program cannot be run in DOS mode. tr!` !Rich!` UPX0 UPX1 .rsrc .fuck; 题目目录名明确指向运行时/加壳机制: crackme-packed,高,TSCTF/crackme-packed
TSCTF/debugMe,TSCTF,debugMe,P1,是,否,否,否,否,由 C3 环境与交互干预映射：题目目录名明确指向环境/调试干预: debugMe,中,TSCTF/debugMe
TSCTF/easyXor,TSCTF,easyXor,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/easyXor
TSCTF/fxxk,TSCTF,fxxk,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/fxxk
TSCTF/fxxk_bak,TSCTF,fxxk_bak,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/fxxk_bak
TSCTF/maze,TSCTF,maze,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll .?AVtype_info@@ .?AVbad_alloc@std@@ .?AVbad_array; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,TSCTF/maze
TSCTF/maze_revenge,TSCTF,maze_revenge,P2,否,是,否,否,否,由 C1/C4 映射：伪成功/伪验证,低,TSCTF/maze_revenge
TSCTF/minecraft,TSCTF,minecraft,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW RtlUnwindEx SetLastError EnterCriticalSection LeaveCriticalSec; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter TerminateProcess IsProcessorFeaturePresent QueryPerformance,中,TSCTF/minecraft
TSCTF/tic-tac-toe,TSCTF,tic-tac-toe,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/tic-tac-toe
TSCTF/welcome,TSCTF,welcome,U0,否,否,否,否,是,静态证据不足，待人工复核,低,TSCTF/welcome
UMassCTF/adventure,UMassCTF,adventure,U0,否,否,否,否,是,静态证据不足，待人工复核,低,UMassCTF/adventure
UMassCTF/chains,UMassCTF,chains,U0,否,否,否,否,是,静态证据不足，待人工复核,低,UMassCTF/chains
UMassCTF/client,UMassCTF,client,U0,否,否,否,否,是,静态证据不足，待人工复核,低,UMassCTF/client
UMassCTF/lambda,UMassCTF,lambda,U0,否,否,否,否,是,静态证据不足，待人工复核,低,UMassCTF/lambda
VNCTF/1,VNCTF,1,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,VNCTF/1
XCTF/001-hackme,XCTF,001-hackme,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/001-hackme
XCTF/003-re2-cpp-is-awesome,XCTF,003-re2-cpp-is-awesome,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/003-re2-cpp-is-awesome
XCTF/004-666,XCTF,004-666,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/004-666
XCTF/005-easyRE1,XCTF,005-easyRE1,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/005-easyRE1
XCTF/006-re1-100,XCTF,006-re1-100,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ombs stderr ioctl strtold_l __duplocale ptrace fileno fwrite fread gettimeofday atoi lseek64 fdopen syscall setvbuf __wcsxfrm_,低,XCTF/006-re1-100
XCTF/007-Shuffle,XCTF,007-Shuffle,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/007-Shuffle
XCTF/008-re-for-50-plz-50,XCTF,008-re-for-50-plz-50,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/008-re-for-50-plz-50
XCTF/009-dmd-50,XCTF,009-dmd-50,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/009-dmd-50
XCTF/011-secret-galaxy-300,XCTF,011-secret-galaxy-300,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/011-secret-galaxy-300
XCTF/012-srm-50,XCTF,012-srm-50,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetLastError GetModuleFileNameW InitializeCriticalSectionAndSpi; 时序/工具干预: log USER32.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,XCTF/012-srm-50
XCTF/013-Mysterious,XCTF,013-Mysterious,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: tdHandle WriteFile InterlockedDecrement OutputDebugStringA GetProcAddress LoadLibraryA InterlockedIncrement GetModuleFileNameA TerminatePr,低,XCTF/013-Mysterious
XCTF/014-answer-to-everything,XCTF,014-answer-to-everything,P2,否,是,否,否,否,由 C1/C4 映射：伪成功/伪验证,低,XCTF/014-answer-to-everything
XCTF/015-elrond32,XCTF,015-elrond32,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/015-elrond32
XCTF/018-Reversing-x64Elf-100,XCTF,018-Reversing-x64Elf-100,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: tack_chk_fail stdin printf fgets getenv ptrace __libc_start_main __gmon_start__ GLIBC_2.4 GLIBC_2.2.5 UH-h UH-h VUUU VUUU []A\,低,XCTF/018-Reversing-x64Elf-100
XCTF/019-IgniteMe,XCTF,019-IgniteMe,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: tdHandle WriteFile InterlockedDecrement OutputDebugStringA GetProcAddress LoadLibraryA InterlockedIncrement GetModuleFileNameA GetCPInfo C; 时序/工具干预: CompareStringA CompareStringW HeapFree SetUnhandledExceptionFilter HeapAlloc HeapReAlloc GetLastError VirtualFree VirtualAlloc,中,XCTF/019-IgniteMe
XCTF/020-流浪者,XCTF,020-流浪者,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/020-流浪者
XCTF/021-EasyRE,XCTF,021-EasyRE,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,XCTF/021-EasyRE
XCTF/022-SignIn,XCTF,022-SignIn,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/022-SignIn
XCTF/023-simple-check-100,XCTF,023-simple-check-100,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/023-simple-check-100
XCTF/024-debug,XCTF,024-debug,P1,是,否,否,否,否,由 C3 环境与交互干预映射：题目目录名明确指向环境/调试干预: 024-debug,中,XCTF/024-debug
XCTF/026-EASYHOOK,XCTF,026-EASYHOOK,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: Window MessageBoxA user32.dll WriteFile WriteProcessMemory VirtualProtectEx GetProcAddress LoadLibraryA OpenProcess GetCurrentProcessId Cr; 时序/工具干预: EASYHOOK.exe !This program cannot be run in DOS mode. Rich .text `.rdata @.data PUVWQ _^; 题目目录名明确指向环境/调试干预: 026-EASYHOOK,高,XCTF/026-EASYHOOK
XCTF/027-crackme,XCTF,027-crackme,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/027-crackme
XCTF/028-crazy,XCTF,028-crazy,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/028-crazy
XCTF/029-Repalce,XCTF,029-Repalce,P4,否,否,否,是,否,"C2 证据包含加壳/虚拟化线索：UPX/packer: cannot be run in DOS mode. ['dg ['Rich UPX0 UPX1 .rsrc 3.91 UPX! -A(Y X$Y3 #\m 4 9olu 1lu, #xi # u6$| $$Y] {!$f 8csm ?`YY",低,XCTF/029-Repalce
XCTF/030-gametime,XCTF,030-gametime,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetStartupInfoW GetModuleHandleW KERNEL32.dll GetLastError GetModuleFileNameW I; 时序/工具干预: .rsrc$02 Sleep UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,XCTF/030-gametime
XCTF/031-ReverseMe-120,XCTF,031-ReverseMe-120,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: t\ctf \Release\ctf .pdb GetCommandLineA IsDebuggerPresent EncodePointer DecodePointer IsProcessorFeaturePresent EnterCriticalSection Leav; 时序/工具干预: eFileNameA WriteFile GetModuleFileNameW QueryPerformanceCounter GetCurrentProcessId GetSystemTimeAsFileTime GetEnvironmentStrin,中,XCTF/031-ReverseMe-120
XCTF/032-serial-150,XCTF,032-serial-150,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/032-serial-150
XCTF/034-testre,XCTF,034-testre,P2,否,是,否,否,否,由 C1/C4 映射：诱饵/假路径,低,XCTF/034-testre
XCTF/035-reverse-for-the-holy-grail-350,XCTF,035-reverse-for-the-holy-grail-350,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/035-reverse-for-the-holy-grail-350
XCTF/036-Windows-Reverse2,XCTF,036-Windows-Reverse2,P1+P4,是,否,否,是,否,"""由 C3 环境与交互干预映射：UPX/packer: . Rich .text .rdata .data .rsrc .reloc .aspack .adata +V8YY <""""Rw$ gf$&RK*E J<kfU n}Oxh7t F6)@Q 7R ND YQA_ I3""""C ?X6K rmPk """"wb\^; 自修改/运行时解码: program cannot be run in DOS mode. Rich UnPackEr LoveBoom D$(SUVW D$@d t$H; D$$VPW L$@d Y_^][ L$(3 1<0| Rh0! Qh`! 8csm _^[] Y_^[；C2 证据包含加壳/虚拟化线索：UPX/packer: . Rich .text .rdata .data .rsrc .reloc .aspack .adata +V8YY <""""Rw$ gf$&RK*E J<kfU n}Oxh7t F6)@Q 7R ND YQA_ I3""""C ?X6K rmPk """"wb\^; 自修改/运行时解码: program cannot be run in DOS mode. Rich UnPackEr LoveBoom D$(SUVW D$@d t$H; D$$VPW L$@d Y_^][ L$(3 1<0| Rh0! Qh`! 8csm _^[] Y_^[""",中,XCTF/036-Windows-Reverse2
XCTF/037-Newbie_calculations,XCTF,037-Newbie_calculations,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ___________________.pdb GetCommandLineA IsDebuggerPresent EncodePointer DecodePointer IsProcessorFeaturePresent EnterCriticalSection Leav; 时序/工具干预: NameW GetProcessHeap GetModuleFileNameA QueryPerformanceCounter GetCurrentProcessId GetSystemTimeAsFileTime GetEnvironmentStrin,中,XCTF/037-Newbie_calculations
XCTF/038-easyre-153,XCTF,038-easyre-153,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/038-easyre-153
XCTF/039-key,XCTF,039-key,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll memcpy .?AVtype_info@@ .?AVbad_alloc@std@@ .?AVba; 时序/工具干预: ale-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,XCTF/039-key
XCTF/040-deedeedee,XCTF,040-deedeedee,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/040-deedeedee
XCTF/041-Windows-Reverse1,XCTF,041-Windows-Reverse1,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: Id GetTickCount QueryPerformanceCounter IsDebuggerPresent SetUnhandledExceptionFilter UnhandledExceptionFilter GetCurrentProcess Terminat; 时序/工具干预: ocessId GetCurrentThreadId GetTickCount QueryPerformanceCounter IsDebuggerPresent SetUnhandledExceptionFilter UnhandledExceptio,中,XCTF/041-Windows-Reverse1
XCTF/042-notsequence,XCTF,042-notsequence,P2,否,是,否,否,否,由 C1/C4 映射：诱饵/假路径、题目目录名明确指向诱饵/伪路径,高,XCTF/042-notsequence
XCTF/043-easy_Maze,XCTF,043-easy_Maze,P2,否,是,否,否,否,由 C1/C4 映射：题目目录名/题型指向静态结构化验证,低,XCTF/043-easy_Maze
XCTF/044-zorropub,XCTF,044-zorropub,U0,否,否,否,否,是,静态证据不足，待人工复核,低,XCTF/044-zorropub
XCTF/045-catch-me,XCTF,045-catch-me,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: VP+ libc.so.6 puts printf strstr getenv ptrace __libc_start_main __gmon_start__ GLIBC_2.2.5 bad_ bad_ bad_ bad_ bad_ bad_ ffff,低,XCTF/045-catch-me
