题目编号,赛事名称,题目名称,论文分类集合,P1-Block,P2-Obfuscate,P3-Morph,P4-Conceal,U0-待复核,保护证据,标注置信度,原始数据集相对路径
祥云杯/boa,祥云杯,boa,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: Id InitializeSListHead RtlVirtualUnwind IsDebuggerPresent UnhandledExceptionFilter SetUnhandledExceptionFilter GetStartupInfoW IsProcesso; 时序/工具干预: mTimeAsFileTime KERNEL32.dll WS2_32.dll QueryPerformanceCounter GetCurrentProcessId GetCurrentThreadId InitializeSListHead RtlV,中,祥云杯/boa
祥云杯/ps,祥云杯,ps,U0,否,否,否,否,是,静态证据不足，待人工复核,低,祥云杯/ps
祥云杯/勒索解密_a6b0af561d5ad1ff25888265806a1be3,祥云杯,勒索解密_a6b0af561d5ad1ff25888265806a1be3,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: minateProcess IsProcessorFeaturePresent IsDebuggerPresent GetStartupInfoW QueryPerformanceCounter GetCurrentProcessId GetCurrentThreadId; 时序/工具干预: SingleObjectEx UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresent,中,祥云杯/勒索解密_a6b0af561d5ad1ff25888265806a1be3
第五空间/StangeLanguage,第五空间,StangeLanguage,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW RtlUnwindEx SetLastError EnterCriticalSection LeaveCriticalSec; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter TerminateProcess IsProcessorFeaturePresent QueryPerformance,中,第五空间/StangeLanguage
红帽杯/ezRev,红帽杯,ezRev,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW memcmp memcpy memmove .?AVtype_info@@ .?AVbad_alloc@std@@ .?AV; 时序/工具干预: lVirtualUnwind UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,红帽杯/ezRev
红帽杯/file_store,红帽杯,file_store,U0,否,否,否,否,是,静态证据不足，待人工复核,低,红帽杯/file_store
红明谷杯/g0,红明谷杯,g0,U0,否,否,否,否,是,静态证据不足，待人工复核,中,红明谷杯/g0
红明谷杯/gogogo,红明谷杯,gogogo,U0,否,否,否,否,是,静态证据不足，待人工复核,中,红明谷杯/gogogo
绿城杯/babyvxworks,绿城杯,babyvxworks,U0,否,否,否,否,是,静态证据不足，待人工复核,低,绿城杯/babyvxworks
绿城杯/easy_re,绿城杯,easy_re,P1,是,否,否,否,否,由 C3 环境与交互干预映射：反调试: ystemTimeAsFileTime InitializeSListHead IsDebuggerPresent GetModuleHandleW KERNEL32.dll <?xml version='1.0' encoding='UTF-8' standalone='; 时序/工具干预: eap-l1-1-0.dll UnhandledExceptionFilter SetUnhandledExceptionFilter GetCurrentProcess TerminateProcess IsProcessorFeaturePresen,中,绿城杯/easy_re
